Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\1\\bulbasaur.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\1\\bulbasaur
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\42\\golbat.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\42\\golbat
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\43\\oddish.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\43\\oddish
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\44\\gloom.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\44\\gloom
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\45\\vileplume.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\45\\vileplume
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\46\\paras.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\46\\paras
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\47\\parasect.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\47\\parasect
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\48\\venonat.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\48\\venonat
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\49\\venomoth.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\49\\venomoth
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\50\\diglett.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\50\\diglett
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\51\\dugtrio.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\51\\dugtrio
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\52\\meowth.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\52\\meowth
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\53\\persian.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\53\\persian
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\54\\psyduck.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\54\\psyduck
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\55\\golduck.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\55\\golduck
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\56\\mankey.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\56\\mankey
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\57\\primeape.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\57\\primeape
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\58\\growlithe.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\58\\growlithe
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\59\\arcanine.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\59\\arcanine
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\60\\poliwag.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\60\\poliwag
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\61\\poliwhirl.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\61\\poliwhirl
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\62\\poliwrath.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\62\\poliwrath
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\63\\abra.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\63\\abra
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\64\\kadabra.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\64\\kadabra
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\65\\alakazam.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\65\\alakazam
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\66\\machop.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\66\\machop
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\67\\machoke.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\67\\machoke
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\68\\machamp.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\68\\machamp
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\69\\bellsprout.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\69\\bellsprout
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\70\\weepinbell.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\70\\weepinbell
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\71\\victreebel.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\71\\victreebel
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\72\\tentacool.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\72\\tentacool
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\73\\tentacruel.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\73\\tentacruel
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\74\\geodude.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\74\\geodude
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\75\\graveler.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\75\\graveler
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\76\\golem.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\76\\golem
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\77\\ponyta.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\77\\ponyta
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\78\\rapidash.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\78\\rapidash
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\79\\slowpoke.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\79\\slowpoke
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\80\\slowbro.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\80\\slowbro
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\81\\magnemite.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\81\\magnemite
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\82\\magneton.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\82\\magneton
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\83\\farfetchd.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\83\\farfetchd
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\84\\doduo.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\84\\doduo
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\85\\dodrio.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\85\\dodrio
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\86\\seel.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\86\\seel
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\87\\dewgong.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\87\\dewgong
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\88\\grimer.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\88\\grimer
